osmid,y,x,street_count,ref,highway,geometry
215622753,45.573542,-73.5490175,4,,,POINT (-73.5490175 45.573542)
215622850,45.5856728,-73.5088892,2,,,POINT (-73.5088892 45.5856728)
215646362,45.5733053,-73.5483913,3,,,POINT (-73.5483913 45.5733053)
215646369,45.569859,-73.5380926,5,,,POINT (-73.5380926 45.569859)
215646520,45.5881648,-73.5213164,3,,,POINT (-73.5213164 45.5881648)
215665097,45.5293652,-73.5440746,3,,,POINT (-73.5440746 45.5293652)
215665103,45.5288379,-73.5446174,4,,,POINT (-73.5446174 45.5288379)
215665107,45.5229429,-73.5462153,4,,,POINT (-73.5462153 45.5229429)
215665144,45.5845608,-73.5085774,3,,,POINT (-73.5085774 45.5845608)
215694578,45.5294658,-73.5443194,4,,,POINT (-73.5443194 45.5294658)
215694608,45.5212756,-73.5490717,3,,,POINT (-73.5490717 45.5212756)
215694613,45.5209685,-73.5493534,3,,,POINT (-73.5493534 45.5209685)
215694618,45.5204726,-73.5480138,4,,,POINT (-73.5480138 45.5204726)
215694633,45.5181335,-73.5491077,3,,,POINT (-73.5491077 45.5181335)
215694739,45.515242,-73.5515765,3,,,POINT (-73.5515765 45.515242)
218156392,45.5554546,-73.6237041,4,,,POINT (-73.6237041 45.5554546)
218156429,45.5553513,-73.6238529,3,,,POINT (-73.6238529 45.5553513)
218172574,45.5664764,-73.5914148,4,,,POINT (-73.5914148 45.5664764)
218198366,45.5737501,-73.5806742,3,,,POINT (-73.5806742 45.5737501)
218198486,45.5761266,-73.5937438,4,,,POINT (-73.5937438 45.5761266)
218198510,45.558226,-73.6122186,4,,,POINT (-73.6122186 45.558226)
218198553,45.5620793,-73.6065599,4,,,POINT (-73.6065599 45.5620793)
218198564,45.5625496,-73.6061092,4,,,POINT (-73.6061092 45.5625496)
218198612,45.5766345,-73.5948872,4,,,POINT (-73.5948872 45.5766345)
218198719,45.5675467,-73.5904872,1,,,POINT (-73.5904872 45.5675467)
218198807,45.5588753,-73.5983059,4,,,POINT (-73.5983059 45.5588753)
218198874,45.5587861,-73.5983855,4,,,POINT (-73.5983855 45.5587861)
218211037,45.5619038,-73.6044132,1,,,POINT (-73.6044132 45.5619038)
218211165,45.5538269,-73.6202192,3,,,POINT (-73.6202192 45.5538269)
218315566,45.5503447,-73.5411969,4,,,POINT (-73.5411969 45.5503447)
218315575,45.5613925,-73.534183,3,,,POINT (-73.534183 45.5613925)
218315701,45.5588375,-73.5271706,1,,,POINT (-73.5271706 45.5588375)
220743779,45.4704822,-73.6075016,5,364,,POINT (-73.6075016 45.4704822)
220784749,45.4658278,-73.6115617,3,,,POINT (-73.6115617 45.4658278)
220784753,45.4655713,-73.6123045,4,,,POINT (-73.6123045 45.4655713)
220784754,45.4654918,-73.6122309,3,,,POINT (-73.6122309 45.4654918)
220784789,45.4648491,-73.615067,3,,,POINT (-73.615067 45.4648491)
220784852,45.4661466,-73.6135099,3,,,POINT (-73.6135099 45.4661466)
220784854,45.4654484,-73.6143802,2,,,POINT (-73.6143802 45.4654484)
220784864,45.464358,-73.6156253,3,,,POINT (-73.6156253 45.464358)
220785100,45.4623341,-73.6254803,1,,,POINT (-73.6254803 45.4623341)
220785105,45.4621387,-73.6258508,1,,,POINT (-73.6258508 45.4621387)
224546999,45.4871628,-73.637613,3,423,,POINT (-73.637613 45.4871628)
224547073,45.4893329,-73.6423748,4,256,,POINT (-73.6423748 45.4893329)
224554453,45.4941151,-73.651862,3,,,POINT (-73.651862 45.4941151)
224590460,45.4715321,-73.6476268,3,,,POINT (-73.6476268 45.4715321)
224644961,45.4697458,-73.5890754,2,,,POINT (-73.5890754 45.4697458)
224826079,45.6438353,-73.5139521,4,,,POINT (-73.5139521 45.6438353)
224826112,45.6705956,-73.5046077,3,,,POINT (-73.5046077 45.6705956)
224826129,45.6656357,-73.5067097,3,,,POINT (-73.5067097 45.6656357)
224826155,45.6681191,-73.5063097,3,,,POINT (-73.5063097 45.6681191)
224826171,45.6888278,-73.498295,3,,,POINT (-73.498295 45.6888278)
224843590,45.6399858,-73.4902341,3,,,POINT (-73.4902341 45.6399858)
224843673,45.6953901,-73.4872394,3,,,POINT (-73.4872394 45.6953901)
224843688,45.6975437,-73.4848259,3,,,POINT (-73.4848259 45.6975437)
224843700,45.6983659,-73.4842578,3,,,POINT (-73.4842578 45.6983659)
224843772,45.6986958,-73.4844962,4,,,POINT (-73.4844962 45.6986958)
224843782,45.6985622,-73.4840939,3,,,POINT (-73.4840939 45.6985622)
224843813,45.6994088,-73.4837824,3,,,POINT (-73.4837824 45.6994088)
224843836,45.6993373,-73.4840611,3,,,POINT (-73.4840611 45.6993373)
224843845,45.7012533,-73.4834701,3,,,POINT (-73.4834701 45.7012533)
224843913,45.698559,-73.4852737,3,,,POINT (-73.4852737 45.698559)
224843931,45.6960372,-73.4939131,3,,,POINT (-73.4939131 45.6960372)
224867651,45.6596133,-73.5215585,3,,,POINT (-73.5215585 45.6596133)
224873133,45.652327,-73.5361619,4,,,POINT (-73.5361619 45.652327)
224873268,45.6514164,-73.5355405,3,,,POINT (-73.5355405 45.6514164)
224873287,45.6577648,-73.5401786,2,,,POINT (-73.5401786 45.6577648)
224873305,45.6685059,-73.5486153,4,,,POINT (-73.5486153 45.6685059)
224873308,45.6523755,-73.5363328,4,,,POINT (-73.5363328 45.6523755)
224873325,45.6499574,-73.5413441,3,,,POINT (-73.5413441 45.6499574)
224873350,45.6464945,-73.5484808,3,,,POINT (-73.5484808 45.6464945)
224873355,45.6498385,-73.5412204,3,,,POINT (-73.5412204 45.6498385)
224911407,45.6107492,-73.6079134,4,,,POINT (-73.6079134 45.6107492)
224911427,45.6067548,-73.6199327,4,,,POINT (-73.6199327 45.6067548)
224911432,45.6066994,-73.6201083,4,,,POINT (-73.6201083 45.6066994)
224911443,45.6168539,-73.5938325,4,,,POINT (-73.5938325 45.6168539)
224911452,45.6151892,-73.5962758,3,,,POINT (-73.5962758 45.6151892)
224911513,45.6106399,-73.6077873,3,,,POINT (-73.6077873 45.6106399)
224911529,45.6066576,-73.619838,4,,,POINT (-73.619838 45.6066576)
224911533,45.6066043,-73.6200023,4,,,POINT (-73.6200023 45.6066043)
224932993,45.6085927,-73.5632332,3,80-S,motorway_junction,POINT (-73.5632332 45.6085927)
224932998,45.6009997,-73.5696373,3,80-S,motorway_junction,POINT (-73.5696373 45.6009997)
224933053,45.6112792,-73.5606461,3,82,motorway_junction,POINT (-73.5606461 45.6112792)
224956851,45.5957084,-73.5457487,3,5,motorway_junction,POINT (-73.5457487 45.5957084)
224964995,45.5794917,-73.532054,4,,,POINT (-73.532054 45.5794917)
224965013,45.583353,-73.5298351,3,,,POINT (-73.5298351 45.583353)
224965069,45.5891883,-73.5263773,3,,,POINT (-73.5263773 45.5891883)
224991721,45.6195505,-73.6004772,3,,,POINT (-73.6004772 45.6195505)
224991787,45.6299862,-73.6113365,4,,,POINT (-73.6113365 45.6299862)
224991801,45.629872,-73.6112268,4,,,POINT (-73.6112268 45.629872)
224991878,45.6159161,-73.6297674,5,,,POINT (-73.6297674 45.6159161)
224994962,45.5992383,-73.6395826,3,,,POINT (-73.6395826 45.5992383)
224995017,45.6000725,-73.6389242,4,,,POINT (-73.6389242 45.6000725)
